date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:24:24	344/344	---MCZ	200	added ('OK')	text/plain	date:Tue,%2021%20Sep%202021%2007:24:22%20GMT	https://ginomallare.wordpress.com/robots.txt		(from )
15:24:24	54260/54260	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Sep%202021%2007:24:23%20GMT	https://ginomallare.wordpress.com/	C:/Users/Gino/Desktop/Website%20Clone/TestGinoMallare/ginomallare.wordpress.com/index.html	(from )
15:24:25	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2021%20Sep%202021%2007:24:23%20GMT	https://ginomallare.wordpress.com/xmlrpc.php	C:/Users/Gino/Desktop/Website%20Clone/TestGinoMallare/ginomallare.wordpress.com/xmlrpc.php	(from https://ginomallare.wordpress.com/)
15:24:25	12405/12405	---MCZ	200	added ('OK')	application/javascript	etag:W/%22573b08bd-30cd%22	https://s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	C:/Users/Gino/Desktop/Website%20Clone/TestGinoMallare/s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	(from https://ginomallare.wordpress.com/)
15:24:26	5605/5605	---MCZ	200	added ('OK')	text/css	etag:W/%22575f1ca1-1f6c%22	https://s2.wp.com/wp-content/mu-plugins/global-print/global-print.css?m=1465851035h&cssminify=yes	C:/Users/Gino/Desktop/Website%20Clone/TestGinoMallare/s2.wp.com/wp-content/mu-plugins/global-print/global-printa1cf.css	(from https://ginomallare.wordpress.com/)
15:24:26	1802/1802	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%227bc04b6ff5aaad3d5d09ee76a1c46f76%22	https://ginomallare.wordpress.com/comments/feed/	C:/Users/Gino/Desktop/Website%20Clone/TestGinoMallare/ginomallare.wordpress.com/comments/feed/index.html	(from https://ginomallare.wordpress.com/)
15:24:26	24792/24792	---MCZ	200	added ('OK')	application/rss+xml	date:Tue,%2021%20Sep%202021%2007:24:24%20GMT	https://ginomallare.wordpress.com/feed/	C:/Users/Gino/Desktop/Website%20Clone/TestGinoMallare/ginomallare.wordpress.com/feed/index.html	(from https://ginomallare.wordpress.com/)
15:24:26	323/323	---MCZ	200	added ('OK')	text/css	etag:W/%225644e737-1d7%22	https://s0.wp.com/wp-content/themes/h4/global.css?m=1420737423h&cssminify=yes	C:/Users/Gino/Desktop/Website%20Clone/TestGinoMallare/s0.wp.com/wp-content/themes/h4/global21a2.css	(from https://ginomallare.wordpress.com/)
15:24:26	19443/19443	---MCZ	200	added ('OK')	text/css	etag:W/%2260debdf3-5e4c%22	https://s0.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1625210320h&cssminify=yes	C:/Users/Gino/Desktop/Website%20Clone/TestGinoMallare/s0.wp.com/wp-content/mu-plugins/highlander-comments/style095c.css	(from https://ginomallare.wordpress.com/)
15:24:26	880/880	---MCZ	200	added ('OK')	text/xml	date:Tue,%2021%20Sep%202021%2007:24:25%20GMT	https://ginomallare.wordpress.com/xmlrpc.php?rsd	C:/Users/Gino/Desktop/Website%20Clone/TestGinoMallare/ginomallare.wordpress.com/xmlrpc0db0.php	(from https://ginomallare.wordpress.com/)
15:24:27	10046/10046	---M--	200	added ('OK')	image/png	etag:%22564a4c2f-273e%22	https://s2.wp.com/i/webclip.png	C:/Users/Gino/Desktop/Website%20Clone/TestGinoMallare/s2.wp.com/i/webclip.png	(from https://ginomallare.wordpress.com/)
15:24:27	1430/1430	---MCZ	200	added ('OK')	application/xml	date:Tue,%2021%20Sep%202021%2007:24:26%20GMT	https://ginomallare.wordpress.com/osd.xml	C:/Users/Gino/Desktop/Website%20Clone/TestGinoMallare/ginomallare.wordpress.com/osd.xml	(from https://ginomallare.wordpress.com/)
15:24:27	24/24	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Sep%202021%2007:24:26%20GMT	https://ginomallare.wordpress.com/?openidserver=1	C:/Users/Gino/Desktop/Website%20Clone/TestGinoMallare/ginomallare.wordpress.com/indexdd8f.html	(from https://ginomallare.wordpress.com/)
15:24:28	4310/4310	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Dec%202015%2012:26:51%20GMT	https://ginomallare.files.wordpress.com/2015/12/logo-red.png?w=125	C:/Users/Gino/Desktop/Website%20Clone/TestGinoMallare/ginomallare.files.wordpress.com/2015/12/logo-red7a73.png	(from https://ginomallare.wordpress.com/)
15:24:31	24042/24042	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e8609cc-5dea%22	http://0.gravatar.com/js/gprofiles.js?ver=202138y	C:/Users/Gino/Desktop/Website%20Clone/TestGinoMallare/0.gravatar.com/js/gprofilesb52c.js	(from https://ginomallare.wordpress.com/)
